Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ECO];[LU];[MD];[ECO];[LU];[MD];[CC];[CC];
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;707.62;31.25;0;15;0.2968;0;1;0;1.00E+15;50928.07783;4749.8585;0.043162818;0.015563771;9.26E-05;8.76539E-10;190.4819433;0.003013993;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;788.746;31.25;0;15;0.2968;0;1;0;1.00E+15;50928.07783;4749.8585;0.043162818;0.015409134;9.26E-05;8.76539E-10;190.4819433;0.003013993;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;861.1;33.3333;0;15;0.2968;0;1;0;1.00E+15;18568.86076;4213.94345;0.037760112;0.026454157;9.26E-05;8.76539E-10;161.0865232;0.049788192;
Mobility;Passenger private;Car electric;CAR_BEV;414.67;10;0;10;0.05137;0;1;0;1.00E+15;23083.21638;2595.682545;0.058534377;0.187718409;0.072265218;3.69096E-07;197.6153233;0.006955091;
Mobility;Passenger private;Car diesel;CAR_DIESEL;449.28;24;0;10;0.05137;0;1;0;1.00E+15;12727.22105;1361.891522;0.024779258;0.163447029;0.061257876;3.12943E-07;138.5971218;0.114456294;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;576.21;10;0;10;0.05137;0;1;0;1.00E+15;198103.6956;4864.449155;0.044287405;0.163648512;0.062547224;3.19521E-07;313.7467775;0.006396209;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;434.63;24;0;10;0.05137;0;1;0;1.00E+15;12441.41114;1344.391225;0.024645141;0.161575318;0.060366501;3.08396E-07;136.4813399;0.127030364;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;443.72;34;0;10;0.05137;0;1;0;1.00E+15;13579.19469;1415.709031;0.028541181;0.161361568;0.060366501;3.08396E-07;139.2176147;0.086807006;
Mobility;Passenger private;Car methanol;CAR_METHANOL;434.63;24;0;10;0.05137;0;1;0;1.00E+15;12441.41114;1344.391225;0.024645141;0.161527189;0.060366501;3.08396E-07;136.4813399;0.117973397;
Mobility;Passenger private;Car gas;CAR_NG;441.22;24;0;10;0.05137;0;1;0;1.00E+15;12597.00148;1386.673905;0.024815864;0.160018446;0.059776846;3.05388E-07;138.9592605;0.087430408;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;461.55;34;0;10;0.05137;0;1;0;1.00E+15;16950.00209;1791.718673;0.038777171;0.158645639;0.059931296;3.06176E-07;156.2905981;0.033276165;
