param layers_in_out:;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_FREIGHT_BOAT;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO;CO2_ATM;CO2_INDUSTRY;CO2_CAPTURED
DEC_THHP_GAS;0;0;0;0;-0.717628472;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_COGEN_GAS;0.9565;0;0;0;-2.19460381;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_COGEN_OIL;0.907;0;0;-2.347748571;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_ADVCOGEN_GAS;2.6364;0;0;0;-4.5455;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_ADVCOGEN_H2;2.6364;0;0;0;0;0;0;0;0;0;-4.5455;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_GAS;0;0;0;0;-1.121681905;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_WOOD;0;0;0;0;0;-1.187704762;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_OIL;0;0;0;-1.075269;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-1;0;0;0;0;0
DEC_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TRAMWAY_TROLLEY;-0.070382379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_DIESEL;0;0;-0.29133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_HYDIESEL;0;0;-0.22747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_CNG_STOICH;0;0;0;0;-0.29979;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_FC_HYBRIDH2;0;0;0;0;0;0;0;0;0;0;-0.27481;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_ELECTRIC;-0.196369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
TRAIN_PUB;-0.072972451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CAR_GASOLINE;0;-0.556152212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_DIESEL;0;0;-0.476983106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_NG;0;0;0;0;-0.385802469;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.514440796;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_HEV;0;-0.386932528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_PHEV;-0.156843876;-0.123902102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_BEV;-0.195011338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.253127992;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRAIN_FREIGHT;-0.07691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BOAT_FREIGHT_DIESEL;0;0;-0.11741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BOAT_FREIGHT_NG;0;0;0;0;-0.13769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BOAT_FREIGHT_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.13496;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TRUCK_DIESEL;0;0;-0.56246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.64657;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.53622;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_ELEC;-0.2804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_NG;0;0;0;0;-0.66049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
EFFICIENCY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRID;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2_ELECTROLYSIS;-1.11842;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.19737;0.039474;0;0;0;0;0;0;0;0;0;0;0;0;0
SMR;0;0;0;0;-1.3646;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27292;0
H2_BIOMASS;0;0;0;0;0;-2.32542;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.901719;0
GASIFICATION_SNG;0;0;0;0;1;-1.6603;0;0;0;0;0;0;0;0;0;0.338;0;0;0;0;0;0;0;0;0;0;0;0.400015;0
SYN_METHANATION;0;0;0;0;1;0;0;0;0;0;-1.2;0;0;0;0;0.295;0;0;0;0;0;0;0;0;0;0;0;0;-0.2
BIOMETHANATION;0;0;0;0;1;0;-3.3462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.105018;0
BIO_HYDROLYSIS;0.094563;0;0;0;1;0;-2.36407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.72198582;0
REDIFUEL;-0.406933;0.469061;1;0;0.218538;-3.685004;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0.27808;0
ADLIBIO_TO_HVC;-0.06257;0;0;0;0;-1.70154;0;0;0;0;-2.80959;0;-0.5074;1;-0.01722;0;0;0;0;0;0;0;0;0;0;0;0;0.212782;0
ADLIBIO_TO_FUEL;-0.03;1;0;0.317992;0;-1.233494;0;0;0;0;-2.036753;0;-0.03678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010882;0
ATM_CCS;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1
INDUSTRY_CCS;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0.9
SYN_METHANOLATION;-0.03522;0;0;0;0;0;0;0;0;0;-1.29068;0;1;0;0;0.083091;0;0;0;0;0;0;0;0;0;0;0;0;-0.2457033
METHANE_TO_METHANOL;0;0;0;0;-1.52905;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0601071;0
BIOMASS_TO_METHANOL;0.032258;0;0;0;0;-1.62219;0;0;0;0;0;0;1;0;0;0.35484;0;0;0;0;0;0;0;0;0;0;0;0.38332771;0
HABER_BOSCH;-0.12255;0;0;0;0;0;0;0;0;0;-1.13;1;0;0;0;0.134042;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA_TO_H2;0;0;0;0;0;0;0;0;0;0;1;-1.63674;0;0;-0.15;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0
OIL_TO_HVC;-0.02119;0;0;-1.81818;0;0;0;0;0;0;0;0;0;1;-0.01722;0;0;0;0;0;0;0;0;0;0;0;0;0.21272727;0
GAS_TO_HVC;-0.47059;0;0;0;-2.79365;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29873016;0
METHANOL_TO_HVC;0;0;0;0;0;0;0;0;0;0;0;0;-1.24116;1;-0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
