{PERIODS};Electricity (%_elec);Space Heating (%_sh);SPACE_COOLING;Passanger mobility (%_pass);Freight mobility (%_freight);PV;PV_UTILITY;Wind_onshore;Wind_offshore;HYDRO_DAM;Hydro_river;TIDAL;Solar;PT_COLLECTOR;ST_COLLECTOR
170;0.000107712;0.0002497;0;2.35E-06;0.000114155;0;0;0.6319;0.8561;0;0;0.492080346;0;0;0
171;0.000106833;0.00024328;0;1.17E-06;0.000114155;0;0;0.6311;0.8459;0;0;0.627831026;0;0;0
172;0.000106585;0.00023455;0;1.41E-05;0.000114155;0;0;0.6397;0.8343;0;0;0.392306383;0;0;0
173;0.000106801;0.0002245;0;3.76E-05;0.000114155;0;0;0.6281;0.8008;0;0;0.11485212;0;0;0
174;0.000108305;0.0002145;0;9.40E-05;0.000114155;0;0;0.6074;0.7874;0;0;0.003411018;0;0;0
175;0.000112538;0.00020566;0;0.0001821;0.000114155;0;0;0.5948;0.7461;0;0;0.01748643;0;0;0
176;0.000119664;0.00019664;0;0.000158603;0.000114155;0;0;0.5802;0.7381;0;0;0.200981192;0;0;0
177;0.000124534;0.00018869;0;0.000146855;0.000114155;0;0;0.5269;0.6374;0;0;0.278053545;0;0;0
178;0.000125968;0.00018352;0;0.000164478;0.000114155;0.01;0.01;0.4531;0.5352;0;0;0.174826465;0;0;0
179;0.000126357;0.00017873;0;0.000187974;0.000114155;0.03;0.03;0.4103;0.4781;0;0;0.05763201;0;0;0
180;0.000127048;0.00017598;0;0.000206772;0.000114155;0.02;0.02;0.3172;0.3786;0;0;0.003121564;0.00347657;0;0
181;0.000126885;0.00017384;0;0.000187974;0.000114155;0.02;0.02;0.2427;0.3471;0;0;0.096918219;0;0;0
182;0.000127165;0.00017524;0;0.000190324;0.000114155;0.02;0.02;0.2399;0.3803;0;0;0.424888679;0;0;0
183;0.000126745;0.00018421;0;0.000213821;0.000114155;0.01;0.01;0.2882;0.3407;0;0;0.540305525;0;0;0
184;0.000126782;0.00019249;0;0.00022322;0.000114155;0;0;0.2746;0.3507;0;0;0.339427154;0;0;0
185;0.000127421;0.00019607;0;0.00022322;0.000114155;0;0;0.2839;0.4245;0;0;0.099625799;0;0;0
186;0.000128813;0.00020203;0;0.000164478;0.000114155;0;0;0.3253;0.4775;0;0;0.003216151;0;0;0
187;0.000126927;0.00020306;0;0.000117484;0.000114155;0;0;0.4039;0.5512;0;0;0.013320632;0;0;0
188;0.00012525;0.00020214;0;8.81E-05;0.000114155;0;0;0.4449;0.5794;0;0;0.1680615;0;0;0
189;0.000122749;0.00020101;0;5.87E-05;0.000114155;0;0;0.4657;0.626;0;0;0.23996729;0;0;0
190;0.000119508;0.00020048;0;3.76E-05;0.000114155;0;0;0.4563;0.5963;0;0;0.154554017;0;0;0
191;0.000116139;0.00020164;0;2.35E-05;0.000114155;0;0;0.4106;0.5304;0;0;0.05304916;0;0;0
192;0.000113063;0.00020383;0;9.40E-06;0.000114155;0;0;0.385;0.5427;0;0;0.003121564;0;0;0
