TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
CAR_HEV	0.001358	0.000108	10.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001363	0.051370	0.108434	0.000000
CAR_PHEV	0.026853	0.001988	10.000000	0.000000	0.000058	Infinity	0.000000	0.000000	1.000000	0.016048	0.051370	0.108434	0.000000
CAR_BEV	383964.736904	8619.317505	10.000000	0.000000	861.931751	Infinity	0.000000	0.586805	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000038	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
TRAIN_FREIGHT	2617.658637	52.350959	40.000000	0.000000	25.068556	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
BOAT_FREIGHT_DIESEL	0.000014	0.000001	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000029	0.114160	0.033427	0.000000
BOAT_FREIGHT_NG	1140.836684	57.447097	40.000000	0.000000	15.040695	Infinity	0.000000	1.000000	1.000000	0.114160	0.114160	0.033427	0.000000
BOAT_FREIGHT_METHANOL	0.000018	0.000001	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000053	0.114160	0.033427	0.000000
TRUCK_DIESEL	0.001676	0.000085	15.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.002671	0.092590	0.074944	0.000000
TRUCK_METHANOL	0.000216	0.000011	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000309	0.092590	0.074944	0.000000
TRUCK_FUEL_CELL	5034.800535	150.000641	15.000000	0.000000	12.430992	Infinity	0.000000	0.047881	1.000000	0.092590	0.092590	0.074944	0.000000
TRUCK_ELEC	195698.205327	5718.411247	15.000000	0.000000	247.193570	Infinity	0.000000	0.952119	1.000000	0.092590	0.092590	0.074944	0.000000
TRUCK_NG	0.004613	0.000232	15.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.011577	0.092590	0.074944	0.000000
HABER_BOSCH	408.178522	7.980442	20.000000	0.000000	0.470176	Infinity	0.000000	1.000000	1.000000	0.786301	1.000000	0.058246	0.000000
OIL_TO_HVC	0.000174	0.000001	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000372	1.000000	0.058246	0.000000
GAS_TO_HVC	0.000404	0.000010	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000792	1.000000	0.058246	0.000000
METHANOL_TO_HVC	3112.254141	280.103264	20.000000	0.000000	4.355239	Infinity	0.000000	1.000000	1.000000	1.000000	1.000000	0.058246	0.000000
ADLIBIO_TO_HVC	0.000429	0.000006	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000423	1.000000	0.058246	0.000409
SYN_METHANOLATION	0.001108	0.000031	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004305	0.950000	0.058246	0.000000
METHANE_TO_METHANOL	7102.569010	310.569464	25.000000	0.000000	6.480210	Infinity	0.000000	1.000000	1.000000	0.850000	0.850000	0.048263	0.000000
BIOMASS_TO_METHANOL	0.000618	0.000009	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000661	1.000000	0.058246	0.000000
DAM_STORAGE	0.000000	0.000000	1.000000	0.000000	8192.000000	8192.000000	0.000000	-1.000000	1.000000	0.001162	1.000000	1.015000	
PHS	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.028572	
BATT_LI	0.004109	0.000006	15.000000	0.000000	0.000012	Infinity	0.000000	-1.000000	1.000000	0.000234	1.000000	0.074944	
BEV_BATT	0.000000	0.000000	1.000000	0.000000	855.091022	Infinity	0.000000	-1.000000	1.000000	0.003760	1.000000	1.015000	
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000012	Infinity	0.000000	-1.000000	1.000000	0.000813	1.000000	1.015000	
TS_DEC_DIRECT_ELEC	0.003324	0.000023	20.000000	0.000000	0.000175	Infinity	0.000000	-1.000000	1.000000	0.001183	1.000000	0.058246	
TS_DEC_HP_ELEC	2888.036706	20.218190	20.000000	0.000000	152.242315	Infinity	0.000000	-1.000000	1.000000	0.033621	1.000000	0.058246	
TS_DEC_THHP_GAS	0.003306	0.000023	20.000000	0.000000	0.000174	Infinity	0.000000	-1.000000	1.000000	0.000925	1.000000	0.058246	
TS_DEC_COGEN_GAS	0.003277	0.000023	20.000000	0.000000	0.000173	Infinity	0.000000	-1.000000	1.000000	0.000618	1.000000	0.058246	
TS_DEC_COGEN_OIL	0.003254	0.000023	20.000000	0.000000	0.000172	Infinity	0.000000	-1.000000	1.000000	0.000395	1.000000	0.058246	
TS_DEC_ADVCOGEN_GAS	0.003259	0.000023	20.000000	0.000000	0.000172	Infinity	0.000000	-1.000000	1.000000	0.000450	1.000000	0.058246	
TS_DEC_ADVCOGEN_H2	0.003267	0.000023	20.000000	0.000000	0.000172	Infinity	0.000000	-1.000000	1.000000	0.000520	1.000000	0.058246	
TS_DEC_BOILER_GAS	0.003289	0.000023	20.000000	0.000000	0.000173	Infinity	0.000000	-1.000000	1.000000	0.000751	1.000000	0.058246	
TS_DEC_BOILER_WOOD	0.003286	0.000023	20.000000	0.000000	0.000173	Infinity	0.000000	-1.000000	1.000000	0.000724	1.000000	0.058246	
TS_DEC_BOILER_OIL	0.003267	0.000023	20.000000	0.000000	0.000172	Infinity	0.000000	-1.000000	1.000000	0.000524	1.000000	0.058246	
TS_DHN_DAILY	1383.454280	3.965902	40.000000	0.000000	461.151427	Infinity	0.000000	-1.000000	1.000000	0.009879	1.000000	0.033427	
TS_DHN_SEASONAL	0.004179	0.000023	25.000000	0.000000	0.007598	Infinity	0.000000	-1.000000	1.000000	0.002171	1.000000	0.048263	
TS_HIGH_TEMP	0.006960	0.000074	25.000000	0.000000	0.000248	Infinity	0.000000	-1.000000	1.000000	0.040889	1.000000	0.048263	
