2020;;;;;;2015;;;;;;;;;;
Technologies param;fmin_perc;fmax_perc;f_min;f_max;;Name (in model and documents);[];[];[GW];[GW];;;fmin_perc;fmax_perc;f_min;
IND_BOILER_WOOD;0;0;0;1.00E+15;;IND_BOILER_WOOD;0;0;0;0.00E+00;;;0;0;0;1E+15
IND_COGEN_GAS;0.086;1;0;1.00E+15;;IND_COGEN_GAS;0.086;0.086;0.823;8.25E-01;;;0;0.914;-0.823;1E+15
IND_COGEN_WASTE;0.056;1;0;1.00E+15;;IND_COGEN_WASTE;0.056;0.056;0.535;5.37E-01;;;0;0.944;-0.535;1E+15
IND_COGEN_WOOD;0;0;0;1.00E+15;;IND_COGEN_WOOD;0;0;0;0.00E+00;;;0;0;0;1E+15
IND_DIRECT_ELEC;0;0;0;1.00E+15;;IND_DIRECT_ELEC;0;0;0;0.00E+00;;;0;0;0;1E+15
INDUSTRY_CCS;0;1;0;1.00E+15;;INDUSTRY_CCS;0;1;0;0.00E+00;;;0;0;0;1E+15
LFO_STORAGE;0;1;0;1.00E+15;;LFO_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
METHANE_TO_METHANOL;0;1;0;1.00E+15;;METHANE_TO_METHANOL;0;1;0;0.00E+00;;;0;0;0;1E+15
METHANOL_STORAGE;0;1;0;1.00E+15;;METHANOL_STORAGE;0;1;0;0.00E+00;;;0;0;0;1E+15
METHANOL_TO_HVC;0;0;0;1.00E+15;;METHANOL_TO_HVC;0;1;0;0.00E+00;;;0;-1;0;1E+15
NUCLEAR;0;1;0;1.00E+15;;NUCLEAR;0;1;5.925;5.925;;;0;0;-5.925;1E+15
OIL_TO_HVC;0;1;0;1.00E+15;;OIL_TO_HVC;0;1;4.587;4.59E+00;;;0;0;-4.587;1E+15
PHEV_BATT;0;1;0;1.00E+15;;PHEV_BATT;0;1;0;0.00E+00;;;0;0;0;1E+15
PHS;0;1;5;6.5;;PHS;0;1;5.9;5.901;;;0;0;-0.9;0.599
PV;0;1;55;59.2;;PV;0;1;3.845;3.847;;;0;0;51.155;55.353
REDIFUEL;0;1;0;1.00E+15;;REDIFUEL;0;1;0;0.00E+00;;;0;0;0;1E+15
SMR;0;1;0;1.00E+15;;SMR;0;1;1.485;1.49E+00;;;0;0;-1.485;1E+15
SYN_METHANATION;0;1;0;1.00E+15;;SYN_METHANATION;0;1;0;0.00E+00;;;0;0;0;1E+15
SYN_METHANOLATION;0;1;0;1.00E+15;;SYN_METHANOLATION;0;1;0;0.00E+00;;;0;0;0;1E+15
TRAIN_FREIGHT;0;1;0;1.00E+15;;TRAIN_FREIGHT;0;1;2.408;2.41E+00;;;0;0;-2.408;1E+15
TRAIN_PUB;0.43;1;0;1.00E+15;;TRAIN_PUB;0.385;0.385;5.033;5.04E+00;;;0.045;0.615;-5.033;1E+15
TRAMWAY_TROLLEY;0.05;1;0;1.00E+15;;TRAMWAY_TROLLEY;0.045;0.045;0.471;4.73E-01;;;0.005;0.955;-0.471;1E+15
TRUCK_DIESEL;0.923;1;0;1.00E+15;;TRUCK_DIESEL;0.94;1;56.898;5.69E+01;;;-0.017;0;-56.898;1E+15
TRUCK_ELEC;0;0;0;1.00E+15;;TRUCK_ELEC;0;0;0;0.00E+00;;;0;0;0;1E+15
TRUCK_FUEL_CELL;0;0;0;1.00E+15;;TRUCK_FUEL_CELL;0;0;0;0.00E+00;;;0;0;0;1E+15
TRUCK_METHANOL;0;0;0;1.00E+15;;TRUCK_METHANOL;0;0;0;0.00E+00;;;0;0;0;1E+15
TRUCK_NG;0.06;1;0;1.00E+15;;TRUCK_NG;0.053;0.053;3.183;3.19E+00;;;0.007;0.947;-3.183;1E+15
TS_DEC_ADVCOGEN_GAS;0;1;0;1.00E+15;;TS_DEC_ADVCOGEN_GAS;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_ADVCOGEN_H2;0;1;0;1.00E+15;;TS_DEC_ADVCOGEN_H2;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_BOILER_GAS;0;1;0;1.00E+15;;TS_DEC_BOILER_GAS;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_BOILER_OIL;0;1;0;1.00E+15;;TS_DEC_BOILER_OIL;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_BOILER_WOOD;0;1;0;1.00E+15;;TS_DEC_BOILER_WOOD;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_COGEN_GAS;0;1;0;1.00E+15;;TS_DEC_COGEN_GAS;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_COGEN_OIL;0;1;0;1.00E+15;;TS_DEC_COGEN_OIL;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_DIRECT_ELEC;0;1;0;1.00E+15;;TS_DEC_DIRECT_ELEC;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_HP_ELEC;0;1;0;1.00E+15;;TS_DEC_HP_ELEC;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DEC_THHP_GAS;0;1;0;1.00E+15;;TS_DEC_THHP_GAS;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DHN_DAILY;0;1;0;1.00E+15;;TS_DHN_DAILY;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_DHN_SEASONAL;0;1;0;1.00E+15;;TS_DHN_SEASONAL;0;1;0;0.00E+00;;;0;0;0;1E+15
TS_HIGH_TEMP;0;1;0;1.00E+15;;TS_HIGH_TEMP;0;1;0;0.00E+00;;;0;0;0;1E+15
WIND_OFFSHORE;0;1;0;6;;WIND_OFFSHORE;0;1;0.711;0.713;;;0;0;-0.711;5.287
WIND_ONSHORE;0;1;0;10;;WIND_ONSHORE;0;1;1.249;1.251;;;0;0;-1.249;8.749
