Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;77.15;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.2389637;333.3485249;15.30381283;0.000381918;0.000188279;6.76165E-06;28.92260412;0.03277476;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;76.92;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.2389637;333.3485249;15.30381283;2.50083E-05;0.000188279;6.76165E-06;28.92260412;0.032062434;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;615.38;30.55555556;0;15;0.2968;0;1;0;1.00E+15;1.666759058;4175.461638;220.6248508;8.0869E-05;9.29442E-05;1.69005E-05;173.4465926;0.071239326;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;617.16;30.55555556;0;15;0.2968;0;1;0;1.00E+15;1.65148673;4115.710375;219.5335767;3.36082E-05;9.29442E-05;1.69005E-05;170.7311548;0.072010828;
Mobility;Passenger public;Bus electric;BUS_COACH_ELECTRIC;691.0411731;31.25;0;15;0.2968;0;1;0;1.00E+15;5.96461079;5074.96239;278.9922668;3.23729E-07;9.29442E-05;1.69005E-05;233.0165006;0.003014721;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;770.2631538;31.25;0;15;0.2968;0;1;0;1.00E+15;5.96461079;5074.96239;278.9922668;3.20639E-07;9.29442E-05;1.69005E-05;233.0165006;0.003014721;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;841.42;33.33333333;0;15;0.2968;0;1;0;1.00E+15;1.699890898;4147.489755;223.1136972;2.48159E-05;9.29442E-05;1.69005E-05;172.5671531;0.053698837;
Mobility;Passenger private;Car electric;CAR_BEV;422.18;10;0;10;0.05137;0;1;0;1.00E+15;2.44216106;2529.884107;263.1048456;2.57172E-05;0.069093957;0.00397833;218.0906778;0.00823535;
Mobility;Passenger private;Car diesel;CAR_DIESEL;438.75;24;0;10;0.05137;0;1;0;1.00E+15;1.143241993;1307.974506;95.32209012;6.05393E-05;0.060264105;0.003471737;150.2193192;0.121756289;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;605.68;10;0;10;0.05137;0;1;0;1.00E+15;15.77222613;4762.227567;265.4262459;2.32592E-05;0.062437923;0.003596455;377.1462197;0.007858422;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;424.45;24;0;10;0.05137;0;1;25;1.00E+15;1.117861789;1290.350752;94.02979719;8.03114E-05;0.0593724;0.003420578;147.8066593;0.136399492;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;433.58;34;0;10;0.05137;0;1;0;1.00E+15;1.230923786;1398.494869;101.4034569;6.15377E-05;0.0593724;0.003420578;154.0707728;0.094708533;
Mobility;Passenger private;Car methanol;CAR_METHANOL;424.45;24;0;10;0.05137;0;1;0;1.00E+15;1.117861789;1290.350752;94.02979719;7.59531E-05;0.0593724;0.003420578;147.8066593;0.126720956;
Mobility;Passenger private;Car gas;CAR_NG;432.38;24;0;10;0.05137;0;1;0;1.00E+15;1.140348792;1339.459286;95.79521822;7.77591E-05;0.058981858;0.003398171;151.3672984;0.094096328;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;456.57;34;0;10;0.05137;0;1;0;1.00E+15;1.63213536;1767.682533;145.8356592;3.58191E-05;0.060751787;0.003499717;175.4089985;0.036689731;
Electricity;Electricity;Combined cycle gas turbine;CCGT;764.95;19.37373993;183.79;25;0.96154;0;1;0;1.00E+15;1.960118455;1988.245743;57.15205249;0.000119321;0.004079363;0.000936409;118.926989;0.364478068;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;764.95;19.37373993;183.79;25;0.63;0;1;0;1.00E+15;2.469749328;2505.189712;72.01158832;5.57007E-05;0.005070012;0.001167087;149.8480107;0.003270015;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;1.00E+15;0.10544601;55.25343016;7.492160777;0;0;0;13.85961342;0;
